,tweet,attitude
0,"4 safety tips for HITCH Users!

1) Wear a mask, and make sure your driver does as well. 

2) Avoid seating in the f… https://t.co/CuLvv8QVuX",1
1,"Alameda County Board of Supervisor, Wilma Chan talks about how the county is prioritizing our residents who are mos… https://t.co/Gpl3WMIC70",1
2,"Ando de vacaciones! First time inside an airport in over a year! 

I. Feel. So. Alive!! #maskon #GetVaccinated #VACATIONMODE",1
3,DittoMask provides users with a face covering that best fits an active lifestyle. You can use the #sportsmask wheth… https://t.co/PGxJM1sASG,1
4,"Partner in crime. 👊🏻
 
#maskon #brother #friendship #homie #musician #travel #safetyfirst #goodvibes #goodtimes… https://t.co/pwr0pzIJbQ",1
5,@Icarus23864266 💯 📌 that shit buh ik the baby father must be broke now she be gambling on them two niggas coz they… https://t.co/Fs4keUnhfu,1
6,Happy First Day of In-Person School! #returnofthemack #pgcpsproud #letsgetit #backatitlikeweneverleft #Godblessus… https://t.co/cs7Fx2EOfA,1
7,"Tussling with COVID-19 is not a game you want to play. Wear a mask, halt its spread.
Get your mask now at… https://t.co/uwdUGJYM7D",1
8,"Wear a mask. 
Thanks @kinuski.kk for the mask and photo
⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#maskoff #facemaskselfie #mask #covidmask… https://t.co/px7HAKuV35",1
9,"Dispose of the used mask responsibly and to reduce waste try to use reusable cotton masks.

#Thekabadiwala #maskon… https://t.co/e1xazOhFku",1
10,"Remember to smile with your eyes when you wear a mask, cause we can see through it! 

No mask on your face,you big… https://t.co/FYXeBKCxwz",1
11,"people always know me to be the ""easy go lucky, positive thinker, clever"" girl. #maskon",1
12,@dixcette @KcDersiox @Uuuaa13 @RedXDeter @_RapVibes Ratio par kegrec 🎴🎴 #maskon 😷😷😷 https://t.co/HxD4jkyZHH,1
13,Are you catching up with friends this weekend? Grab your mask! The fight against #COVID19 is not over. Don’t forget… https://t.co/eo9bZTtH4H,1
14,"Resuable cotton cloth fashion washable face mask. Available in All colors with custom logo,
Contact no:009232136778… https://t.co/jasJuHJtQK",1
15,Let’s be the bigger picture here. 😊#MaskOn,1
16,Quarantine Lyfe 😷 #MaskOn #QuarantineLife https://t.co/R4D8jmu1gl,1
17,It is most important now than ever that we take all the precautions necessary to avoid any unfavorable circumstance… https://t.co/NO3j2YTfq3,1
18,"Let’s get funky and wear our Easter masks! We don’t know about you, but we want to celebrate Easter with our family… https://t.co/ouEntGiy44",1
19,We at Navicosoft make sure that everyone is wearing the mask and maintaining their distance while working. We hope… https://t.co/lp5l8nlbsp,1
20,#imvaccinated #InThisTogether #MaskUp #maskon #hawaii Doing my part to keep Hawai’i safe. https://t.co/8cWEMqL18v,1
21,@GavinWilliamson if you are concerned about discipline you will follow the rules in schools as in wider society.… https://t.co/fwFhne6uj7,1
22,at the movie theatre for the FIRST TIME in over a year!!! I’m so happy #vaccinated #fuckucovid #maskon #datenight #wednesdayisthenewfriday,1
23,"@metrorailgp Safe journey to all. Let's get the economy growing so we can have more South Africans employed, or mor… https://t.co/q4uGTrnybr",1
24,ECU announces that the class of 2020 will be given the opportunity to attend on of the three in-person spring comme… https://t.co/dCFXE1kshs,1
25,I need a new skin care routine because my skin just isn’t it anymore. 😭 #maskon,1
26,"Alameda County Public Health Nurse, Korey Lee explains what to expect when getting vaccinated at the Fremont High S… https://t.co/URkjkrBq6q",1
27,"DAY 7 OF #GALANACCI_EVERYDAYS

“NEW NORM”

Is this our new norm for the next few years?

WATCH NOW:… https://t.co/yjMC9iakWW",1
28,"Who are you supporting for the finals?
#championsleague #football #soccer #club #finals #maskon #gobigorgohome… https://t.co/WmWt4yXhyx",1
29,@BrewPack8 If he would take the mask off I could find out #MaskOn,1
30,"This #WorldHealthDay, make sure to keep your #MaskUp, wash your hands and practice #SocialDistancing. The fight isn… https://t.co/xhezmorxNI",1
31,@msgpahujaa @SandipskDave @BhaiJagtap1 If this is the case then why not all these small and medium business people… https://t.co/TFFVOS5FL1,1
32,"@GavinWilliamson data + science over lobbyists please.
#COVIDisAirborne 
You must give funding to #Makeschoolssafe,… https://t.co/k7NZp5qjLh",1
33,The Yay Or Nay Question. Should kids still have to wear masks in schools? #polls #QuestionOfTheDay #question… https://t.co/3hmpm5rk4S,1
34,"Mom and I at Canopy Park
(Jewel Changi Airport - Singapore) #motherdaughterbonding #motherdaughter #wefie… https://t.co/tdbZOf8nJZ",1
35,"#WARDHA_DISTRICT #CORONA_UPDATE DATE 07.04.2021
#maskup #wearamask #maskon
#socialdistancing https://t.co/zayTuFfVWi",1
36,I think I’m ready to make some content! #MaskOn someone come bust on my shit! It’s way to clean 🤪🤣! Hit me up https://t.co/2IdKvGk9mX,1
37,"On #WorldHealthDay, we ask you to please #wearamask &amp; #donateplasma so there is enough to provide to the world!… https://t.co/NHRkhNqqHF",1
38,"That daily glass of milk will keep them strong, but not wearing a mask today, will always be wrong. Stay Safe, Stay… https://t.co/52cFyueIx1",1
39,"I don’t know man... Eye Fucking with mask on is a different kind of hot 
#Covid #MaskOn",1
40,"Just a gentle reminder!

#KeepCalm #WashYourHands #WearAMask #MaskOn #MaskUp #COVID19 #GetVaccinated https://t.co/8Y2MD6qQVf",1
41,"""To keep the body in good health is a duty, for otherwise, we shall not be able to trim the lamp of wisdom and keep… https://t.co/piRdvAsQkW",1
42,"Your Protection is in your hands!

Let's fight #COVID19. Follow 3 rules of safety👇

#IndianRailways #IRSDC… https://t.co/qSmzU60NFi",1
43,On this #WorldHealthDay2021 it’s all the more important to reiterate the relevance of remaining healthy both in min… https://t.co/a0Y1zNi4pd,1
44,Can we have elections in Maharashtra please🙏 where is #COVID19 ? Or #MaskOn ? #BanglayBJP https://t.co/mBuKAgK1sY,1
45,"This #WorldHealthDay, let's take a pledge to not take our health for granted. Tread on a healthier path to unleash… https://t.co/39hk7gfrmQ",1
46,"A touchless, hygienic, multi-use key tailored and placed within a hand’s reach to seamlessly open doors, press butt… https://t.co/INlbuc1MFL",1
47,"The bus driver (36B) to Finch West subway wasnt wearing her mask all the time during the@ride. But, when we were al… https://t.co/v2idXW60fC",1
48,"I want my #AadhaarCard picture to update with my ""Mask On"" Look 😷

#MaskOn #KakashiLite",1
49,"@ishkarnBHANDARI In vaccination we are ahead of USA even after donating and dispatching to other countries.
Medical… https://t.co/gXU8EjeFPD",1
50,"It’s World Health Day!
Make sure to keep checking the guidelines in place and follow the rules. Stay Safe. Save Liv… https://t.co/TGZH1vRakm",1
51,On #WorldHealthDay I can only urge others to do the right thing. Our sincere efforts can increase public awareness… https://t.co/C9lOZM9wGf,1
