,tweet,attitude
0,Thanks to @leslieherod for making this happen!! Let's get #vaccinated !!!! #lgbtqiasquad https://t.co/JN3Zf7rRUA,1
1,"Getting #vaccinated at the Southeast-Rio Vista YMCA

4801 E 58th St, Maywood, CA 90270 #SELAstrong 

@fema @Cal_OES… https://t.co/XWVtF6bGcJ",1
2,"@VoteRIGHTinAZ @LisaMarieB9 Vaccine passports are necessary!  Please also allow anti-Vaxxers to carry ID, to distin… https://t.co/8kwGcBp0BM",1
3,Got that Fauci ouchy ! 💉 one and Done !! shout out to every medical professional working tirelessly to keep us safe… https://t.co/cM4rniAXDn,1
4,On #WorldHealthDay I am grateful for all the #frontline medical workers &amp; #scientists who have been selflessly work… https://t.co/XGQV4hfXg4,1
5,"If I can get through my fear of needles to get the vaccine, you can too!

Get yourself #vaccinated https://t.co/STm93QYSCV",1
6,@auld_one @BoyleSports might give odds on who's #vaccinated,1
7,"Being vaccinated does NOT mean that you can pose as your twin brother, take his place in his boarding school and fa… https://t.co/9UXYVaoxKy",1
8,"I’d sure like to know!!!! 🍊🍊🍐🍐🍈🍈🤱🏽🍼🥛👶🏼

“So which is it? Is #breastmilk from a vaccinated person a sort of elixir c… https://t.co/3CgUUxHq8q",1
9,Finally received the Fauci Ouchie. Felt less painful than a regular shot. So very little ouchie. And Costco lived u… https://t.co/M6hdXW8e1h,1
10,"💙 @gloshospitals Thank you from all of our staff team for your swift, efficient and friendly administration of our… https://t.co/aRRKKUJ7YR",1
11,"JABBED! 💉
#vaccinated #1down1togo #AstraZeneca #makeyourownchoices #besafeoutthere https://t.co/KrMrF8Q83a",1
12,Dad got #vaccinated with #Covaxin #COVID19Vaccine https://t.co/wljRTwALGF,1
13,"I am #vaccinated 

(This is my new personality trait)",1
14,"First one down! ✨
I was randomly irrationally scared about it, but what's important is that there's less chance to… https://t.co/zB5W9L9vDm",1
15,What a clever way to prevent sticker trash all over the ground! I admire the creative brain who thought of this. Th… https://t.co/eHXD3UTMJj,1
16,#SputnikV #vaccinated 1st dose https://t.co/LaQx2aneMU,1
17,"This morning, Mom received her second and final dose of the Moderna COVID-19 Vaccine! 💉 ✔️ ♥️

#vaccinated #MaskUp… https://t.co/Yihbh4pESD",1
18,"FORMER PFIZER VP
“Your government is lying to you”
#COVID19 #vaccinated #VaccinePassport #VaccineApartheid… https://t.co/ZfkGku55pJ",1
19,Shouting THANKS &amp; PRAISE to ⁦@NationalGuardNY⁩  ⁦@javitscenter⁩  #volunteers ⁦@singforhope⁩ &amp; wonderful Amanda from… https://t.co/h8uDUpcG3n,1
20,"I'm so happy to be #vaccinated, but when in public and around un-vaccinated people, we still have to mask up! https://t.co/O9Lelh78sn",1
