,tweet
0,Scientists believe it might combat deadly variants and even future pandemics. https://t.co/5yI5aFg8G5
1,"EU drug regulator finds a “possible link” between the AstraZeneca coronavirus vaccine and a rare clotting disorder,… https://t.co/f8XeQaQYWf"
2,"Pres. Biden: ""The virus is spreading because we have too many people who see the end in sight, think we're at the f… https://t.co/D06euARqBo"
3,LIVE NOW: @DrJAshton and @CDCDirector are answering questions on the COVID vaccine now on ABC News' Instagram Live:… https://t.co/lxxwUkQpGQ
4,A leading human rights expert who is taking over leadership at Amnesty International is tackling vaccine equity as… https://t.co/kHACzNsEpe
5,RT @ABCGMA3: Pfizer vaccine trial principal investigator @DrOnyemaOgbuagu reveals the drugmaker hopes to receive FDA authorization for thei…
6,"EU drug regulator finds a “possible link” between the AstraZeneca coronavirus vaccine and a rare clotting disorder,… https://t.co/vaImKqJ4ni"
7,"California will fully reopen its economy on June 15, as long as its COVID-19 vaccine supply is sufficient and hospi… https://t.co/8oUOtUbzMS"
8,"Pres. Biden: ""The virus is spreading because we have too many people who see the end in sight, think we're at the f… https://t.co/o0DLOzUCyc"
9,Researchers collaborating with companies like Moderna are seeing promising signs in very early stages of clinical t… https://t.co/KJinZqIU0K
10,"California will fully reopen its economy on June 15, as long as its COVID-19 vaccine supply is sufficient and hospi… https://t.co/ipmx9fNOX3"
11,"NEW: Pres. Biden moves up the date for vaccine eligibility: ""By no later than April 19th, in every part of this cou… https://t.co/21yv2qC2Ef"
12,"Pres. Biden: ""The virus is spreading because we have too many people who see the end in sight, think we're at the f… https://t.co/evSrkv77yT"
13,"NEW: Pres. Biden on vaccine rollout: ""Over 80% of teachers, school staff, and childcare workers received one shot b… https://t.co/UHJ78wR4X8"
14,"Pres. Biden on COVID-19 vaccine rollout: ""We're now administering an average of 3 million shots per day, over 20 mi… https://t.co/fvUROiZvOf"
15,"NEW: Press sec. Psaki rules out any possible federal vaccine passport: ""There will be no federal vaccinations datab… https://t.co/4wFub78vuR"
16,Pres. Biden will call for states and cities to allow all Americans to be eligible to receive a COVID-19 vaccination… https://t.co/pGn8iVUfvt
17,"New Yorkers over 16 years old can sign up for COVID-19 vaccinations starting Tuesday, a major expansion of eligibil… https://t.co/8RMBH1cmzg"
18,NEW: Pres. Biden set to announce that he is shaving about two weeks off his May 1 deadline for states to make all a… https://t.co/M2Pj1IcpXG
19,"Senate Minority Leader Mitch McConnell on vaccine hesitancy: ""I saw on some program last week that Republican men,… https://t.co/u54SlXsSuG"
20,"A new study has shown the effectiveness of the HPV vaccine, and found a dramatic decline in human papillomavirus in… https://t.co/HTdb0pCkJe"
21,Just 10% of Europeans have received at least one dose of the COVID-19 vaccine and only 4% have been fully vaccinate… https://t.co/YY2a28rcfS
22,"Long lines formed at busy airports around the country over the holiday weekend, as the TSA has continued to see a c… https://t.co/EXPVvX0U1X"
23,"RT @TheView: Asked about new data on COVID-19 vaccine effectiveness in children, U.S. @Surgeon_General Dr. @vivek_murthy tells @TheView he’…"
24,"Senate Minority Leader Mitch McConnell on vaccine hesitancy: ""I saw on some program last week that Republican men,… https://t.co/OgNnGCwF8Z"
25,"""We know that with vaccinations and infections, women tend to have a stronger immune response than men,"" Dr. Simone… https://t.co/1UWyerO5R4"
26,Nearly all U.S. adults will soon be eligible for a shot. Will they get it? https://t.co/tS2sRJy8U8
27,Nearly all U.S. adults will soon be eligible for a shot. Will they get it? https://t.co/YkcYyZKy5t
28,Vaccine passports being developed to verify COVID-19 immunization status have become the latest flash point in Amer… https://t.co/3g0kNiPNaN
29,"As the majority of adults in the country now sit on the cusp of eligibility for the COVID-19 vaccines, the U.S. is… https://t.co/7gcYD90jYi"
30,Young professionals cut ahead of older Italians for coronavirus vaccine. https://t.co/e5B5lbXGYP
31,"New study shows the effectiveness of the HPV vaccine, and found a dramatic decline in human papillomavirus infectio… https://t.co/9hRpeSTPFq"
32,Chicago Mayor Lori Lightfoot says the city won't open the vaccine to everyone 16 and older along with the rest of t… https://t.co/Pyo1pUmQgL
33,"As states open up eligibility, the first big test of America's vaccine hesitancy. https://t.co/cxbH4AzvUL"
34,"There’s a clear trend toward vaccine acceptance, although pollsters are finding somewhat less agreement on the abso… https://t.co/kuekb6cl8m"
35,Chicago Mayor Lori Lightfoot says the city won't open the vaccine to everyone 16 and older along with the rest of t… https://t.co/YnBocMEItt
