,tweet
0,"More than half of rural residents in the US have received a Covid-19 vaccine or plan to, but one in five still say… https://t.co/cRgLJFYzYr"
1,"All your questions about the AstraZeneca Covid-19 vaccine, answered. https://t.co/r0XkEx1itE"
2,About a quarter of adults in the United States – more than 66 million people – are fully vaccinated against Covid-1… https://t.co/SLu9tIdPn9
3,"The events of the past 24 hours have left many confused about the status of the Oxford/AstraZeneca vaccine.

The Eu… https://t.co/FIbsrndN1g"
4,"As Covid-19 immunizations are given, there's a heated debate: Is proof needed, in the form of vaccine passports?

S… https://t.co/6yVNfdY6aq"
5,RT @AC360: Youth team sports in which people engage in close contact without masks along with the rise of new variants is in part behind th…
6,RT @AC360: Dr. Anthony Fauci estimates the US needs somewhere between 70 % and 85% of the population that’s been vaccinated or has been inf…
7,The coronavirus variant first identified in the United Kingdom is now the most common strain of coronavirus in the… https://t.co/aSUW2gdPnk
8,The coronavirus variant first identified in the United Kingdom is now the most common strain of coronavirus in the… https://t.co/iimrEV9bUU
9,BREAKING: The EU's top drugs agency says AstraZeneca's Covid-19 vaccine can cause rare blood clots but says its ben… https://t.co/uDz841D9DX
10,"Over the last eight months, Ford has delivered 120 million masks to at-risk communities, the auto company announces. https://t.co/j2yr5Dmc0I"
11,"Some states may fully vaccinate all willing adults against Covid-19 by June, but for others, it may take until the… https://t.co/UpCn2UpVse"
12,A pediatric trial of the Oxford-AstraZeneca vaccine has been paused pending a review by the UK's medicines regulato… https://t.co/VzN9KLWsPW
13,"California plans to fully reopen the state’s activities and businesses beginning June 15, based on falling infectio… https://t.co/VAcAuEQD0v"
14,"Experts are calling on the federal government to set standards for vaccination ""passports"" that may serve as proof https://t.co/najU23w0iU"
15,"President Biden is taking initial steps toward helping other nations ramp up shots, including by boosting global ma… https://t.co/6YvkdvrNp3"
16,The International Monetary Fund expects that the coronavirus vaccine rollout and massive government stimulus will c… https://t.co/oVqaqXJxKF
17,JUST IN: The President plans to announce that every adult in the US will be eligible for a coronavirus vaccine by A… https://t.co/j9EwCy4y2R
18,"New Zealand will allow Australians to travel to the country quarantine-free, Prime Minister Jacinda Ardern announce… https://t.co/LD5YKgnbES"
19,A member of the University of Illinois Men's Gymnastics team celebrated his vault landing by showing off his Covid-… https://t.co/6VOxcxgnDI
20,RT @OutFrontCNN: Infectious disease expert Dr. Michael Osterholm: “We’re not going to have enough vaccine at the way we’re going into the a…
21,"A coronavirus variant first spotted in the UK has been reported in all 50 US states, the CDC says https://t.co/YJZWk1AdSB"
22,"RT @OutFrontCNN: “These people are going to put themselves at risk,” says infectious disease expert Dr. Michael Osterholm about the Texas R…"
23,"A better idea than laminating your vaccine card, says one expert, is to take a picture of it after each dose https://t.co/1P5toJ7qgo."
24,It may be tempting to get your vaccine card laminated as soon as possible. Here are some things to consider before… https://t.co/Sd1UID8Ave
25,President Joe Biden and first lady Jill Biden shared well-wishes with Americans celebrating Easter and encouraged t… https://t.co/pM44tY87GC
26,"Doctors worry that Covid-19 may end up being like influenza, which requires a new vaccine every year. Vaccine maker… https://t.co/XGey7RKjR0"
27,Returning to the US to get the Covid-19 vaccine seems to be a growing sentiment among Americans abroad -- especiall… https://t.co/WvBHJ9Szhk
28,Florida Governor Ron DeSantis signed an executive order Friday banning the use of Covid-19 passports in the state.… https://t.co/ST77F5m2Py
29,"More than 4 million doses of the coronavirus vaccine were administered in the past 24 hours, setting a new record a… https://t.co/8141899bnq"
30,"ACLU senior policy analyst Jay Stanley says, ""Any proposal for vaccine credentials must be primarily paper-based, d… https://t.co/tpL0fkJJ6t"
31,"A portion of long haulers could be having vaccine-induced relief. However, experts aren't yet certain about the sci… https://t.co/81icg6n1uq"
32,Florida Governor Ron DeSantis signed an executive order Friday banning the use of Covid-19 passports in the state.… https://t.co/lVlpia7pwO
33,Country star and international treasure Dolly Parton posted photos of her getting the second Covid-19 vaccine shot… https://t.co/OBzuJRX6nM
34,"As more Americans get vaccinated, a debate is brewing around digital vaccine passports.  
IBM’s Jason E. Kelley, wh… https://t.co/B21omIMNgP"
35,"If you aren't eligible yet to be vaccinated against Covid-19, you will be soon in all 50 states. Read these tips be… https://t.co/Mv7QdqE55M"
36,"Those who have been fully vaccinated against Covid-19 can safely gather for Easter on Sunday, indoors and without w… https://t.co/LPpwIXDNEq"
37,"Here are some of the most common side effects from Covid-19 vaccines, how you can manage them, and why you shouldn'… https://t.co/zP4sbEBeSQ"
38,The ongoing trial of Pfizer/BioNTech's Covid-19 vaccine confirms its protection lasts at least six months after the… https://t.co/loANdiagda
39,"At the headquarters of biotechnology company Novavax, scientists are developing what they hope could soon be anothe… https://t.co/k6qEJMOGxe"
40,Johnson &amp; Johnson said it still expects to meet its commitments for the promised delivery of an additional 24 milli… https://t.co/CPiKDC2AYj
41,"Here are some of the most common side effects from Covid-19 vaccines, how you can manage them, and why you shouldn'… https://t.co/FL4gtfnuS4"
