,tweet
0,"Like millennials and Gen Xers posting ""vaccine selfies"" on Twitter before them, more young people are seizing the m… https://t.co/FPDIgnpJrg"
1,"RT @NBCNewsNow: The U.K. Covid-19 strain is now the most dominant strain in the U.S.

@darakass joins @AlisonMorrisNOW to discuss how these…"
2,"RT @KalhanR: Are you a hot Pfizer girl? Moderna gang? Or are you team Johnson &amp; Johnson?

On TikTok, vaccine rivalries are taking over.

My…"
3,NBC News wants to know your thoughts about getting the vaccine for your children when it becomes available. Take ou… https://t.co/c3Gxz2kCLL
4,"Unusual blood clots should be listed as ""very rare"" side effects of the Oxford-AstraZeneca vaccine, Europe’s main d… https://t.co/mr68imSlVS"
5,"Emer Cooke, the executive director of the European Medicines Agency, says the ""benefits of the AstraZeneca overall… https://t.co/SODmeUQtqe"
6,"Unusual blood clots should be listed as ""very rare"" side effects of the Oxford-AstraZeneca vaccine, Europe’s main d… https://t.co/ehwJw3nVWz"
7,Will you get your child vaccinated when a vaccine becomes available? NBC News wants to hear from you. https://t.co/NOZu6g6Yjk
8,"RT @TODAYshow: With nearly half of the country’s new coronavirus cases coming from just five states, President Biden is speeding up the vac…"
9,"RT @TODAYshow: Today on TODAY: To highlight the importance of vaccines, our anchor team will get the first dose live as New York City’s top…"
10,Experts say they are beginning to see how China and Russia's strategy of selling or donating Covid-19 vaccines abro… https://t.co/10F2GgEEuH
11,"If your Covid-19 vaccine requires two doses, not much should change after you get your first shot, experts say. https://t.co/WDpLCmCaER"
12,"If your Covid-19 vaccine requires two doses, not much should change after you get your first shot, experts say. https://t.co/KoqseIisgt"
13,"If your Covid-19 vaccine requires two doses, not much should change after you get your first shot, experts say. https://t.co/Bv8rMo63GS"
14,"Nearly 80% of school staff and childcare workers have received at least a single dose of a Covid-19 vaccine, CDC sa… https://t.co/Wfqc3B06Vn"
15,The University of Oxford says it paused a small UK trial testing the Covid-19 vaccine it developed with AstraZeneca… https://t.co/1OVlv7sGJB
16,"If your Covid-19 vaccine requires two doses, not much should change after you get your first shot, experts say. https://t.co/Fy19fwk53T"
17,"US Covid data

• 30,926,096 cases (per NBC)

• 561,364 deaths (per NBC)

• 168,592,075 vaccine doses administered (… https://t.co/CwTj3nVw11"
