,tweet
0,"Even if you've got your COVID-19 shot, keep your mask on, Dr. Chris Mackie tells #LdnOnt.
There is still risk.
""We… https://t.co/mmeTnDiS67"
1,"@Oisin16 “Should you be wearing a mask?”
“I don’t have covid, we went over this.”
“I know but-“
“Okay if you’re wor… https://t.co/nwkCmS1GNA"
2,my “‘covid isn’t real!’ ‘wearing a mask is useless!’” mom just got the vaccine can we take a minute to rejoice
3,"I lost a parent to COVID, so excuse me if I have ZERO tolerance for anti-mask bullshit."
4,"@puhpuhpuhpow @bridget_joy_ That’s what I thought too, but yesterday a dr. told me that they’re finding that fully… https://t.co/pNmJ1SJKLk"
5,It’s time we get a card that proves we took the proper steps to stopping the spread of COVID 19 and all its cousins… https://t.co/LhBZmLLBym
6,"@sunflowerraver @insomniacevents @PasqualeRotella ""No specific COVID requirements will be in place i.e. no proof of… https://t.co/FHWjYn7bSe"
7,"Step 1. Purchase Chinese food
Step 2. “Accidentally” place on top of Covid mask

Step 3. Enjoy
#ZeroRegrets https://t.co/2KYBqZlpP5"
8,@drramsss @drramsonnar One of my friend and her father is covid positive they juat did a nose and throat swab test… https://t.co/GhcFfovaiu
9,"Rick's reaction to the North Dakota Senate passing HB 1232 (prohibiting mask mandates.) 

#BEKNews… https://t.co/W9A4mxei7o"
10,@SameerSam2001 @ANI Itne hi samjhdar hoti hai hamari public..to covid ka graph neeche se fir se uper nahi jata.. ..… https://t.co/1oa49KIZIE
11,"You are sagacious and you know COVID is contagious.

Tell everybody to wear a mask, this is not a big deal, so simp… https://t.co/Wayqp2emLJ"
12,@HallsSimplicity @MikeDeWine The mask and the social distancing are what’s protecting people from getting COVID and… https://t.co/toSGSn1C5Q
13,For people out in the streets and without mask. Have a look. #Covid  https://t.co/YxLu46HGal
14,"teacher wearing a mask due to covid 19 during classes they walk without mask nd talk to students without mask 
And… https://t.co/6gW4IsdQc5"
15,@mdr1013 @CassyWearsHeels It’s the absolute truth. People who refused to mask or test spread Covid and harmed other Americans.
16,@SenatorBraun @WLFI Maybe they don’t want to get Covid-19 and since the governor has no guidelines in place again l… https://t.co/UAHdTm1cTQ
17,"Your best protection from #COVID19 will be getting a COVID-19 vaccine, wearing a mask, staying six feet away from o… https://t.co/HRmwd1LkFV"
18,"This time around, historic air pollution has caused sudden spike in numbers of cases presenting with respiratory sy… https://t.co/oW5pAfdwZY"
19,"@buzzindelhi COVID-19 PROTOCOL ARE INCOMPLETE, NEED REVIEWED E.G USE OF MASK; IF MASK CAN STOP COVID-19 LIVE VIRUS… https://t.co/vI2MrYNlv6"
20,"""In honor of Melanie, please wear a mask, consider the COVID–19 vaccine, and hug your loved ones close. "" https://t.co/CqGmiPvFpH"
21,lowkey forgot abt covid for a sec n was freaked out seeing my mask on
22,"MASK UP TO KEEP IT UP
COVID 19 increase incidence of eractile dysfunction 6 TIMES ."
23,"@NYtoCO1234 @chrisvanderveen https://t.co/NsrBQso6jy

Here is the CDC director implying that masks may offer more p… https://t.co/WZW07QuOMs"
24,consider yourself lucky if you feel you can walk around without a mask &amp; not effect anybody if you were to get covid.
25,@komonews sounds like #MOLLY has allergies or She is getting over a cold or getting over covid i wonder if Molly ha… https://t.co/qxIudRWKAo
26,"Bandana Product Headwear Balaclava Outdoors - https://t.co/joCzcnGOeZ

#coronavirus #covid #covid19 #face #mask… https://t.co/mGhwbPgM2f"
27,A print shop owner on Vancouver Island has apologized for comparing mandatory mask use in classrooms to the abuse f… https://t.co/6FnjBnaHS7
28,@pixieskygoddess If we have to it will be the fault of the anti-vaxxers and Covid-19 deniers who refuse to wear mas… https://t.co/rDKl6PdU3K
29,"@AarKiBolboBolo Vaccination only reduces the mortality rate. The concept that once we get the vaccine, we can't hav… https://t.co/e5ivbg1wtn"
30,"OMGGGG THIS IS MASTERPIECE!!
Covid isn't a joke...wear a mask!❤
@KeremBursin https://t.co/p5wH0gkHuZ"
31,@row_racing Glad to hear @JeffGordonWeb didn't get too sick with covid. Really happy to hear he believes in mask we… https://t.co/NZSbGBpFlL
32,"I’m so grateful everyone decided to get tested, wear a mask, be socially distant and get vaccinated in the coming w… https://t.co/0RcWK5LpJP"
33,I want to make a difference but not only for the  gay🌈 Community. for  any one. so I believe in the universe🌍 But i… https://t.co/kytvRMlnrK
34,"Save lives/health. Wear your mask, vaccinated or not &amp; social distance. ""...Covid-19 “long-haulers,” symptoms can p… https://t.co/QqjHzfKkEn"
35,"@GovKemp Open for business..... just don't try to vote there if you are black and/or poor.
Kemp ""crowing"" for busin… https://t.co/hdmfsystaG"
